"UID_ANONYM_COVID","coco2_cal_SEXE","coco2_cal_AGE1","coco2_cal_AGE2","coco2_cal_DIPL","coco2_cal_ZEAT","coco2_q04","coco2_q06_1","coco2_q06_2","coco2_q06_3","coco2_q06_4","coco2_q06_5","coco2_q06_6","coco2_q06_7","coco2_q06_8","coco2_q06_9","coco2_q06_10","coco2_q07_1","coco2_q07_2","coco2_q07_3","coco2_q09","coco2_q10","coco2_q16","coco2_q17","coco2_q18","coco2_q19","coco2_q20","coco2_q21","coco2_q25_a","coco2_q38_modifie","coco2_q47","coco2_q51","coco2_q52_1","coco2_q52_2","coco2_q52_3","coco2_q52_4","coco2_q53_1","coco2_q53_2","coco2_q53_3","coco2_q54_1","coco2_q54_2","coco2_q54_3","coco2_q54_4","coco2_q54_5","coco2_q54_6","coco2_q54_7","coco2_q54_8","coco2_q54_bis_1","coco2_q54_bis_2","coco2_q54_bis_3","coco2_q54_bis_4","coco2_q54_bis_5","coco2_q54_bis_6","coco2_q54_bis_7","coco2_q59_1","coco2_q59_2","coco2_q59_3","coco2_q59_4","coco2_q59_5","coco2_q59_6","coco2_q59_7","coco2_q59_8","coco2_q59_9","coco2_q64","coco2_q68","coco2_q79","coco2_q92","coco2_q93_1","coco2_q93_2","coco2_q93_3","coco2_q93_4","coco2_q93_5","coco2_q94","coco2_q95_1","coco2_q95_2","coco2_q95_3","coco2_q95_4","coco2_q95_5","coco2_q95_6","coco2_q96_1","coco2_q96_2","coco2_q96_3","coco2_q96_4","coco2_q96_5","coco2_q96_6","coco2_q96_7","coco2_q96_8","coco2_q96_9","coco2_q97","coco2_q98","coco2_q99_1","coco2_q99_2","coco2_q99_3","coco2_Bloc2_DO_exp1_gpe","coco2_exp1_gpe_a","coco2_exp1_gpe_b","coco2_q100","coco2_q101","coco2_q102","coco2_q103_1","coco2_q103_2","coco2_q103_3","coco2_q104_1","coco2_q104_2","coco2_q104_3","coco2_q105_1","coco2_q105_2","coco2_q105_3","coco2_q106_1","coco2_q106_2","coco2_q106_3","coco2_q107_1","coco2_q107_2","coco2_q107_3","coco2_q107_4","coco2_q107_5","coco2_q107_6","coco2_q107_7","coco2_q107_8","coco2_q108_1_1","coco2_q108_2_1","coco2_q108_3_1","coco2_q108_4_1","coco2_q108_5_1","coco2_q108_6_1","coco2_q108_7_1","coco2_q109_1","coco2_q109_2","coco2_q109_3","coco2_q109_4","coco2_q109_5","coco2_q109_6","coco2_q109_7","coco2_q109_8","coco2_q110_1","coco2_q110_2","coco2_q110_3","coco2_q111_1","coco2_q111_2","coco2_q111_3","coco2_q111_4","coco2_q111_5","coco2_q111_6","coco2_q112_1","coco2_q112_2","coco2_q112_3","coco2_SWB","ea17_SWB","ea18_SWB","ea19_SWB","eayy_A1","eayy_A2A_rec","eayy_A3_rec","eayy_A3B_rec","eayy_A3C_rec","eayy_A3D","eayy_A3E_rec","eayy_A4","eayy_A5","eayy_A5A","eayy_A5C","eayy_A5C_rec","eayy_B1","eayy_B10A","eayy_B10AA","eayy_B10ACJT","eayy_B11","eayy_B11CJT","eayy_B18_rec","eayy_B18C","eayy_B18CCJT","eayy_B18CJT_rec","eayy_B1A","eayy_B1ACJT","eayy_B1B","eayy_B1BCJT","eayy_B1CJT","eayy_B2_rec","eayy_B25","eayy_B2CJT_rec","eayy_B4_rec","eayy_B4CJT_rec","eayy_B5_rec","eayy_B5A","eayy_B5B_rec","eayy_B5C","eayy_B6A_rec","eayy_B6B_rec","eayy_B7B_rec","eayy_B8_rec","eayy_B9_rec","eayy_C1_rec","eayy_C1JEU","eayy_C8","eayy_C8A_rec","eayy_C8B_rec","eayy_D1_rec","eayy_D1A","eayy_D2","eayy_D3","eayy_D4_rec","eayy_D5_rec","eayy_D6","eayy_D7_1","eayy_D7_10","eayy_D7_2","eayy_D7_3","eayy_D7_4","eayy_D7_5","eayy_D7_6","eayy_D7_7","eayy_D7_8","eayy_D7_9","eayy_E1A","eayy_E1B","eayy_E1C","eayy_E1D","eayy_E1E","eayy_E1F","eayy_E1G","eayy_E1H","eayy_E1I","eayy_E1J","eayy_E2A_rec","eayy_E2AUC","eayy_E2AUC_SOURCE","eayy_E3A","eayy_E3B","eayy_E3C","eayy_E3D","eayy_E3E","eayy_E4","eayy_E5","eayy_E5A","eayy_E5B_1","eayy_E5B_2","eayy_E5B_3","eayy_E5B_4","eayy_E5B_5","eayy_E5B_6","eayy_E5B_7","eayy_E5B_8","eayy_E5B_9","eayy_F1_rec","eayy_F3","eayy_F4","eayy_F5","eayy_F6_rec","eayy_F7","eayy_F8","eayy_G1","eayy_G2","eayy_G3A","eayy_G3B","eayy_G3C","eayy_G4","eayy_G5","eayy_G6_1","eayy_G6_2","eayy_G6_3","eayy_G6_4","eayy_H1A","eayy_H2","eayy_H4","eayy_I1","eayy_I8","eayy_J1","eayy_K3","eayy_PCS18","eayy_PCS6","eayy_PCS6CJT","eayy_TYPMEN5","VAGUE","insee_NUTS1","insee_CATAEU2010","insee_TAU2014","insee_TUU2014","coco2_POIDS","coco2_PDSPLT","coco2_cal_NAT","coco2_POIDS_INIT","coco2_PDSPLT_INIT"
819,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,3,2,3,2,3,3,2,4,2,1,5,3,5,5,4,5,5,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,5,9,4,1,6,7,7,5,4,7,2,9,1,1,1,1,2,2,60,1,1,1,2,1,2,2,1,2,2,2,1,1,2,2,1,2,1,1,2,1,1,6666,6,6,6,1,5,5,3,6666,6666,2,2,1,1,2,2,2,2,2,1,2,2,2,2,6666,6666,6666,2,6666,6666,6666,6,4,4,3,6,4,4,4,3,5,5,4,3,2,3,3,3,1,2,4,0.391763425437428,9999,0.725743420020963,9999,2,7,1,1,6,2,6,2,1,2,2,6,7,3,6,6,1,6,7,2,3,8,2,6,2,7,77,6,6,66,6,6,6,6,6,66,2,66,11,1,6,4,3,2,6,6,8,6,66,1,9,2,2,9,9,9,9,9,9,9,9,9,9,3,3,3,3,3,3,3,3,3,3,77,99,3,3,3,3,3,3,2,99,9,6,6,6,6,6,6,6,6,6,7,8,7,2,7,7,7,8,8,9,9,9,8,9,9,9,9,9,1,7,7,8,77,7,9,56,5,666,4,2019,3,111,8,6,0.161704204946503,"0,931427354404807",1,0.178820963,"0,998383235"
821,1,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,4,2,4,2,3,2,1,2,1,4,5,4,5,3,3,4,1,1,2,1,2,2,2,2,1,1,2,1,2,2,2,3,3,2,8,3,7,3,4,4,8,2,5,1,2,2,2,2,1,6666,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,1,1,2,2,6666,1,5,5,5,4,5,5,5,6666,6666,2,1,2,2,1,2,2,2,2,2,1,2,2,2,6666,6666,6666,6666,1,6666,6666,3,4,2,3,2,3,4,3,5,5,1,6666,6666,6666,6666,6666,6666,5,5,5,0.731859581158563,0.71541572655881,0.537067146461103,0.577095868100548,1,9,1,1,6,2,6,2,1,2,2,4,1,6,6,6,6,6,6,2,2,6,6,6,1,1,1,5,1,4,6,6,1,1,6,66,4,66,2,2,6,2,1,2,6,6,1,6,66,1,5,5,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,77,99,3,1,2,1,1,2,2,3,2,6,6,6,6,6,6,6,6,6,1,2,3,2,1,2,2,2,1,3,1,1,1,2,2,2,1,2,2,1,1,4,5,2,3,48,4,6,3,2019,2,300,0,1,1.02344375314271,"NA",1,0.997950087,"NA"
822,1,4,4,4,1,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,3,5,2,4,3,3,2,3,3,2,4,3,5,2,3,4,4,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,3,1,5,2,7,3,4,2,7,2,5,3,1,1,2,1,2,75,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,4,2,2,2,1,1,6666,4,9,2,4,2,5,3,2,6666,2,1,2,1,2,2,2,2,2,2,1,2,2,2,6666,6666,6666,6666,2,6666,6666,4,5,6,3,5,4,4,6,5,4,1,6666,6666,6666,6666,6666,6666,1,5,1,0.71589140484563,0.621683025196434,0.542048039968197,0.649892431407828,1,9,1,1,6,2,6,5,2,3,2,3,1,6,6,6,6,6,11,5,6,66,6,6,1,6,66,1,2,66,6,6,1,1,6,66,66,6,9,6,6,4,3,1,3,3,3,2,4,2,2,3,3,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,12,8,1,1,2,1,2,2,2,3,2,6,6,6,6,6,6,6,6,6,3,2,3,1,3,1,1,4,4,4,2,2,5,2,2,2,1,2,1,2,1,2,3,2,2,32,3,666,5,2019,1,111,10,8,0.655876705688146,"NA",1,0.710175725,"NA"
823,2,6,6,3,7,2,2,1,1,2,2,2,2,2,2,2,1,2,2,3,6666,3,4,3,4,3,3,6,4,4,5,5,1,3,1,6,6,6,2,2,2,1,1,2,2,2,1,2,2,1,2,2,2,2,1,2,1,2,1,2,1,3,6,2,5,6666,2,2,1,2,2,6666,2,1,1,2,1,2,1,2,2,1,2,1,1,2,2,2,1,1,2,1,2,6666,1,3,5,4,4,5,1,4,6666,2,2,1,1,2,1,1,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.608336962464313,0.600716274914491,0.693379304463134,0.733701019838289,2,14,1,1,6,2,6,7,3,6,6,66,6,6,6,6,1,6,8,3,6,66,2,6,2,6,66,5,6,66,6,6,6,6,6,66,6,66,5,4,6,1,1,1,1,1,1,6,66,2,3,4,3,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,8,6,1,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,1,1,2,3,2,1,2,1,1,4,1,2,2,2,2,2,2,1,1,1,2,2,2,8,3,2,54,5,666,1,2019,7,111,6,5,0.702045937689568,"NA",1,1.112123503,"NA"
824,1,6,6,4,8,2,1,2,2,2,2,2,2,2,2,2,1,2,2,3,6666,4,5,2,5,2,4,2,4,2,5,5,5,5,2,6,4,4,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,4,8,2,1,4,4,3,4,1,2,1,2,2,2,6666,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,1,2,1,1,2,1,2,6666,3,5,5,4,3,1,5,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.862639017382996,0.77927134309027,0.731466426769448,0.731466426769448,1,14,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,11,5,5,11,2,2,2,2,6,1,6,1,6,6,6,6,6,66,66,6,9,6,6,2,1,1,2,1,1,6,66,1,6,5,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,13,10,1,1,1,1,2,1,1,5,2,6,6,6,6,6,6,6,6,6,2,2,3,1,3,1,1,1,3,2,1,3,1,1,2,1,1,1,2,1,2,1,1,3,2,32,3,3,3,2019,8,111,6,5,0.0354150368657318,"0,525993956185048",1,0.053407794,"0,760694324"
828,1,6,6,3,8,2,2,2,2,2,1,2,2,2,2,2,1,2,2,3,6666,5,5,1,5,2,3,1,4,4,5,5,5,5,5,5,5,5,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,3,3,3,1,3,5,4,5,1,2,1,1,2,2,6666,1,2,1,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,2,2,6666,1,5,0,5,5,5,5,6666,6666,6666,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,4,4,4,0.923674861641638,0.650896839741503,0.834589905059025,0.802028397007887,1,13,1,3,6,2,6,4,1,1,2,5,6,6,6,6,1,1,9,3,1,5,2,2,2,2,6,5,6,1,6,6,6,6,6,66,3,66,7,3,6,2,1,2,6,6,1,6,66,1,5,5,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,10,6,1,2,2,2,2,2,2,3,2,6,6,6,6,6,6,6,6,6,2,1,3,2,1,2,2,1,1,2,1,1,1,2,1,2,2,2,1,3,1,3,2,3,1,55,5,5,3,2019,8,111,9,7,0.972136155906015,"NA",1,1.627839995,"NA"
830,2,5,5,4,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,3,6666,1,3,4,2,5,1,6,4,2,5,5,2,5,1,6,6,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,2,1,2,8,3,2,7,9,4,1,6666,2,2,2,2,1,6666,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,6666,5,5,5,2,5,5,2,6666,6666,2,2,1,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.207287295008266,0.546392229977395,0.315517801088891,0.356536924088487,2,13,1,1,6,2,6,5,3,6,6,66,6,6,6,6,1,6,11,5,6,66,2,6,2,6,66,1,6,66,6,6,6,6,6,66,66,3,8,6,6,1,1,1,1,1,1,6,66,1,3,5,5,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,7,5,1,1,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,1,2,2,1,1,1,2,3,3,3,2,2,2,2,2,1,1,2,2,1,1,1,3,3,1,32,3,666,1,2019,2,111,9,7,0.238627310155058,"NA",1,0.432977497,"NA"
832,2,5,5,4,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,3,6666,3,3,3,3,4,3,1,4,2,5,5,3,5,1,1,2,6,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,3,1,1,1,2,8,8,1,5,8,2,8,1,2,1,2,1,2,6666,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,4,2,2,2,2,6666,2,6,5,4,4,5,2,3,6666,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.460056087226253,0.70176489739971,0.757823482966472,0.704323239492804,2,13,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,11,5,4,10,2,2,2,2,6,5,6,5,6,6,6,6,6,66,7,66,8,2,6,2,1,1,2,1,1,6,66,1,5,5,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,12,10,2,1,1,1,1,1,2,4,2,6,6,6,6,6,6,6,6,6,1,2,3,2,2,2,1,2,4,4,1,3,1,2,2,1,1,1,2,1,2,1,3,2,2,36,3,4,3,2019,2,111,7,5,0.303476392075052,"NA",1,0.550642961,"NA"
836,2,5,5,3,5,2,2,2,2,2,2,2,2,2,2,1,2,2,1,3,6666,4,5,1,4,2,3,6,4,2,5,5,3,5,3,3,5,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,3,4,4,1,4,4,5,0,3,0,6666,2,1,1,2,2,6666,1,2,1,2,1,2,1,1,2,2,2,1,1,1,2,2,2,1,1,2,2,6666,2,2,2,2,5,5,5,6666,6666,6666,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.839414023539879,0.78416144753931,0.74464495486796,0.712083446816822,2,12,1,1,6,2,6,1,3,6,6,66,1,6,6,6,6,6,10,4,6,66,6,6,1,6,66,4,2,66,6,6,2,2,5,1,66,3,11,6,6,1,1,1,2,1,1,6,66,1,3,3,2,2,2,2,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,4,2,1,1,2,2,2,2,2,3,2,6,6,6,6,6,6,6,6,6,2,2,3,1,2,2,1,1,3,4,2,3,1,1,1,2,2,2,2,1,1,3,3,2,1,41,4,666,1,2019,5,111,8,6,0.279058161410831,"NA",1,0.548755956,"NA"
837,2,6,6,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,4,2,4,3,3,2,4,2,5,5,3,5,2,6,6,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,4,1,4,1,3,1,5,3,7,5,3,10,1,2,1,1,2,2,6666,2,2,1,2,1,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,1,1,6666,3,5,5,1,1,5,1,1,6666,1,2,2,2,2,1,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.691865474433946,0.371325920759505,0.473320375582205,0.487303604785839,2,14,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,5,1,1,4,2,2,2,2,6,6,6,5,6,6,6,6,6,66,6,66,10,1,6,2,1,1,2,1,1,6,66,1,5,5,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,9,5,2,2,2,1,2,2,2,3,1,2,2,2,2,2,2,2,2,1,3,2,3,2,3,2,1,2,2,2,2,2,5,2,2,2,2,1,1,3,1,1,8,3,3,56,5,6,3,2019,1,111,10,8,3.30929977881843,"NA",1,3.45062085,"NA"
838,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,3,4,2,3,3,2,1,4,1,1,5,4,5,1,5,5,5,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,4,9,4,1,5,1,4,4,6,4,2,8,1,1,1,2,2,2,80,2,2,1,2,2,2,2,1,2,1,2,2,1,2,2,3,2,1,2,1,2,6666,1,6,10,6,4,4,4,5,3,5,2,1,2,2,1,2,1,2,1,2,2,2,2,2,1,6666,1,6666,6666,6666,6666,3,6,3,6,4,4,5,3,2,1,5,2,2,3,3,3,2,2,1,1,0.585111968621197,0.445185448519611,0.476206982879812,0.528032485164613,2,11,1,1,6,2,6,7,3,6,6,66,6,6,6,6,1,6,11,5,6,66,2,6,2,6,66,9,6,66,2,6,6,6,6,66,66,66,10,6,6,2,1,1,3,2,1,6,66,1,6,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,9,5,2,1,1,1,2,2,1,4,1,2,2,2,2,2,2,1,2,2,5,1,1,2,2,2,2,1,5,1,2,2,1,2,2,2,1,1,1,1,1,2,5,2,2,32,3,666,2,2019,2,120,0,1,0.157103580113005,"NA",1,0.224929329,"NA"
840,1,5,5,2,4,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,3,3,3,3,3,3,2,4,4,5,5,1,5,3,6,6,6,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,3,2,4,3,7,7,2,8,1,1,1,2,2,2,75,2,1,1,2,1,2,2,1,2,2,2,1,1,1,2,2,1,1,2,2,2,6666,1,5,5,8,3,1,5,4,1,6666,1,2,2,2,1,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.50005019395087,0.339922103143873,0.46372586240574,0.476904390504252,1,13,1,1,6,2,6,4,1,1,2,7,6,6,6,6,6,1,6,2,1,1,1,2,1,2,6,5,2,5,6,6,2,2,5,7,3,66,7,4,6,2,1,2,6,6,2,6,66,2,5,2,5,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,12,9,1,1,1,2,2,2,2,4,2,6,6,6,6,6,6,6,6,6,3,1,3,2,1,1,2,2,2,2,1,1,2,2,2,2,1,2,1,1,1,2,5,2,2,55,5,5,3,2019,4,111,8,6,1.12927686560421,"NA",1,1.348121596,"NA"
845,1,4,4,2,4,3,2,2,2,2,2,2,2,2,2,1,2,2,1,3,6666,3,5,2,5,3,4,2,4,2,3,5,1,5,4,5,5,5,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,3,4,2,5,3,2,5,2,4,4,2,2,2,2,2,1,6666,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,3,2,2,2,2,6666,2,2,5,5,2,5,5,1,6666,6666,1,2,2,1,2,2,2,2,2,2,1,2,2,2,6666,6666,6666,6666,2,6666,6666,2,4,4,1,3,4,4,4,4,4,1,6666,6666,6666,6666,6666,6666,1,2,4,0.774614716288623,0.513252225802568,0.467214276085384,0.72054106176528,1,9,1,1,6,2,6,3,1,3,2,2,1,6,6,6,6,6,6,2,3,8,6,6,1,1,1,5,1,3,6,6,1,1,6,66,2,66,11,1,6,6,4,2,6,6,3,2,4,2,5,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,11,2,1,1,1,1,2,2,2,2,2,6,6,6,6,6,6,6,6,6,3,2,3,2,2,1,2,2,2,2,1,1,1,1,2,2,1,2,1,2,1,3,5,2,2,61,6,5,4,2019,4,111,7,6,1.19085396803843,"NA",1,1.121765215,"NA"
848,2,5,5,3,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,3,6666,4,5,2,5,2,3,2,4,2,5,5,3,5,2,5,4,5,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,3,1,1,1,2,8,2,2,4,2,3,9,1,1,1,1,2,2,70,2,2,1,2,1,2,1,1,2,1,2,1,1,1,2,2,1,1,1,1,2,6666,1,1,5,5,5,5,5,6666,6666,6666,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.840146349672006,0.68811406824061,0.608959968527246,0.712083446816822,2,12,1,1,6,2,6,4,1,1,2,5,3,2,6,6,6,1,10,4,3,9,2,2,2,2,6,5,6,5,6,6,6,6,6,66,5,66,7,4,6,2,1,2,6,6,1,6,66,1,5,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,12,9,1,1,2,1,2,1,2,3,1,1,2,2,2,1,2,2,2,2,1,3,3,2,1,1,2,1,3,1,2,2,1,1,1,2,2,2,1,1,1,2,7,2,1,36,3,4,3,2019,5,211,4,4,0.0289038098766358,"0,201385125744494",1,0.058232837,"0,645283281"
854,1,3,3,2,8,3,1,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,2,2,4,2,3,1,6,4,1,5,5,4,5,4,5,4,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,4,2,4,5,9,4,8,6666,2,2,2,2,1,6666,1,2,2,2,1,2,1,1,2,1,2,2,2,1,2,1,4,2,2,2,2,6666,1,5,3,5,2,5,5,2,6666,6666,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.249411214123061,0.242318781520478,0.258939060054087,0.0982498782631661,1,10,3,2,1,2,6,7,3,6,6,66,3,2,6,6,6,6,6,2,6,66,2,6,2,6,66,6,6,66,6,6,6,6,6,66,1,66,11,1,6,1,1,2,6,6,3,1,5,2,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,5,2,2,2,2,1,1,1,4,2,1,2,2,2,1,1,2,4,3,4,5,66,6,666,1,2019,8,112,8,0,0.436864016909791,"NA",3,0.379214224,"NA"
855,1,4,4,3,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,4,2,3,3,3,3,3,2,5,4,3,5,2,1,6,6,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,3,1,3,7,1,7,3,2,3,7,2,1,3,1,1,2,2,2,70,1,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,6666,5,5,3,3,1,5,4,2,6666,2,1,2,2,1,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.641796466779188,0.49317458542045,0.712083446816822,0.543271598315217,1,11,1,1,6,2,6,4,1,1,2,7,1,6,6,6,6,6,9,3,4,10,6,6,1,1,1,5,1,3,6,6,1,1,6,66,5,66,1,3,6,2,1,1,2,1,1,6,66,1,4,5,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,12,9,1,1,1,1,2,2,2,4,2,6,6,6,6,6,6,6,6,6,2,1,3,2,2,2,2,2,2,3,3,1,2,2,2,2,2,1,1,2,1,2,8,3,5,36,3,4,3,2019,2,111,7,5,0.656791392652791,"NA",1,0.829768242,"NA"
856,2,3,3,4,8,2,2,2,1,2,2,2,2,2,2,2,1,2,2,3,6666,3,4,3,4,3,3,3,3,3,1,5,1,5,1,5,4,5,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,3,5,2,7,2,7,3,3,4,8,3,0,1,1,1,2,2,2,65,1,1,1,1,1,2,1,1,2,2,2,1,1,1,2,1,4,2,2,2,1,1,6666,5,5,5,4,2,5,5,2,6666,1,2,2,1,2,2,2,2,2,1,2,2,2,2,6666,6666,6666,1,6666,6666,6666,4,5,3,4,6,4,6,5,5,5,1,6666,6666,6666,6666,6666,6666,1,5,5,0.608336962464313,0.344089805799305,0.454044689110262,0.529414232617768,2,9,1,1,6,1,2,1,3,6,6,66,1,6,6,6,6,6,11,5,6,66,6,6,1,6,66,2,2,66,6,6,1,1,6,66,66,6,11,6,6,2,2,2,6,6,3,2,9,2,3,2,3,2,2,1,2,1,1,2,1,2,2,1,2,2,2,2,1,2,1,2,2,8,5,1,1,2,2,2,2,2,3,2,6,6,6,6,6,6,6,6,6,1,3,3,1,2,2,1,1,6,3,4,4,5,2,2,2,1,2,1,1,2,1,0,2,1,32,3,666,2,2019,8,111,9,7,0.272798719965487,"NA",1,0.2812155,"NA"
862,1,5,5,2,5,2,2,2,2,1,1,2,2,2,2,2,2,1,2,3,6666,4,3,9999,2,4,1,6,4,2,5,5,5,5,5,6,6,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,2,7,3,1,6,9,3,1,6666,1,1,1,2,2,90,1,1,1,2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,9999,9999,2,6666,1,2,2,1,3,9999,9999,3,9999,9999,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,9999,0.79292217224937,0.739119340612783,0.675543138857022,1,13,1,1,6,2,6,7,2,3,2,4,6,6,6,6,1,6,6,2,6,66,2,6,2,6,66,4,6,66,6,6,6,6,6,66,66,3,2,6,6,1,1,2,6,6,1,6,66,1,5,5,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,7,6,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,3,2,2,2,3,2,2,2,2,1,1,1,2,2,2,2,1,2,1,2,1,3,4,2,2,48,4,666,1,2019,5,112,8,2,0.605834865744017,"NA",1,0.730728321,"NA"
