"UID_ANONYM_COVID","coco3_cal_AGE1","coco3_cal_AGE2","coco3_cal_DIPL","coco3_cal_SEXE","coco3_cal_ZEAT","coco3_q04","coco3_q06_1","coco3_q06_10","coco3_q06_2","coco3_q06_3","coco3_q06_4","coco3_q06_5","coco3_q06_6","coco3_q06_7","coco3_q06_8","coco3_q06_9","coco3_q07_1","coco3_q07_2","coco3_q07_3","coco3_q09","coco3_q10","coco3_q16","coco3_q17","coco3_q18","coco3_q19","coco3_q20","coco3_q21","coco3_q25_a","coco3_q37","coco3_q38_modifie_bis","coco3_q41_1","coco3_q41_2","coco3_q41_3","coco3_q41_4","coco3_q41_5","coco3_q41_6","coco3_q46_modifie_1","coco3_q46_modifie_2","coco3_q46_modifie_3","coco3_q46_modifie_4","coco3_q47","coco3_q51","coco3_q52_1","coco3_q52_2","coco3_q52_3","coco3_q52_4","coco3_q53_1","coco3_q53_2","coco3_q53_3","coco3_q54_1","coco3_q54_2","coco3_q54_3","coco3_q54_4","coco3_q54_5","coco3_q54_6","coco3_q54_7","coco3_q54_8","coco3_q54_bis_1","coco3_q54_bis_2","coco3_q54_bis_3","coco3_q54_bis_4","coco3_q54_bis_5","coco3_q54_bis_6","coco3_q54_bis_7","coco3_q59_1","coco3_q59_2","coco3_q59_3","coco3_q59_4","coco3_q59_5","coco3_q59_6","coco3_q59_7","coco3_q59_8","coco3_q59_9","coco3_q60_3","coco3_q60_5","coco3_q60_6","coco3_q64","coco3_q68","coco3_q79","coco3_q113","coco3_q114","coco3_q115","coco3_q116_1","coco3_q116_2","coco3_q116_3","coco3_q116_4","coco3_q116_5","coco3_q116_6","coco3_q117","coco3_q118_1","coco3_q118_2","coco3_q118_3","coco3_q118_4","coco3_q118_5","coco3_q118_6","coco3_q119","coco3_q120_1","coco3_q120_2","coco3_q120_3","coco3_q120_4","coco3_q120_5","coco3_q120_6","coco3_q120_7","coco3_q120_8","coco3_q121_1","coco3_q121_10","coco3_q121_2","coco3_q121_3","coco3_q121_4","coco3_q121_5","coco3_q121_6","coco3_q121_7","coco3_q121_8","coco3_q121_9","coco3_q122_1","coco3_q122_2","coco3_q122_3","coco3_q122_4","coco3_q122_5","coco3_q122_6","coco3_q122_7","coco3_q122_8","coco3_q122_9","coco3_q122_10","coco3_q122_11","coco3_q123","coco3_q124","coco3_q125_1","coco3_q125_2","coco3_q125_3","coco3_q125_4","coco3_q125_5","coco3_q126_1","coco3_q126_2","coco3_q126_3","coco3_q126_4","coco3_q126_5","coco3_q126_6","coco3_q127_1","coco3_q127_2","coco3_q127_3","coco3_q127_4","coco3_q127_5","coco3_q127_6","coco3_q128","coco3_q129","coco3_q130","coco3_q131","coco3_q132_1","coco3_q132_2","coco3_q132_3","coco3_q132_4","coco3_q132_5","coco3_q132_6","coco3_q132_7","coco3_q133","coco3_q134","coco3_q135_1","coco3_q135_2","coco3_q135_3","coco3_q136_1","coco3_q136_2","coco3_q136_3","coco3_q137_1","coco3_q137_2","coco3_q137_3","coco3_q138_1","coco3_q138_2","coco3_q138_3","coco3_q139_1","coco3_q139_2","coco3_q139_3","coco3_q140_1","coco3_q140_2","coco3_q140_3","coco3_SWB","ea17_SWB","ea18_SWB","ea19_SWB","eayy_A1","eayy_A2A_rec","eayy_A3_rec","eayy_A3B_rec","eayy_A3C_rec","eayy_A3D","eayy_A3E_rec","eayy_A4","eayy_A5","eayy_A5A","eayy_A5C","eayy_A5C_rec","eayy_B1","eayy_B10A","eayy_B10AA","eayy_B10ACJT","eayy_B11","eayy_B11CJT","eayy_B18_rec","eayy_B18C","eayy_B18CCJT","eayy_B18CJT_rec","eayy_B1A","eayy_B1ACJT","eayy_B1B","eayy_B1BCJT","eayy_B1CJT","eayy_B2_rec","eayy_B25","eayy_B2CJT_rec","eayy_B4_rec","eayy_B4CJT_rec","eayy_B5_rec","eayy_B5A","eayy_B5B_rec","eayy_B5C","eayy_B6A_rec","eayy_B6B_rec","eayy_B7B_rec","eayy_B8_rec","eayy_B9_rec","eayy_C1_rec","eayy_C1JEU","eayy_C8","eayy_C8A_rec","eayy_C8B_rec","eayy_D1_rec","eayy_D1A","eayy_D2","eayy_D3","eayy_D4_rec","eayy_D5_rec","eayy_D6","eayy_D7_1","eayy_D7_10","eayy_D7_2","eayy_D7_3","eayy_D7_4","eayy_D7_5","eayy_D7_6","eayy_D7_7","eayy_D7_8","eayy_D7_9","eayy_E1A","eayy_E1B","eayy_E1C","eayy_E1D","eayy_E1E","eayy_E1F","eayy_E1G","eayy_E1H","eayy_E1I","eayy_E1J","eayy_E2A_rec","eayy_E2AUC","eayy_E2AUC_SOURCE","eayy_E3A","eayy_E3B","eayy_E3C","eayy_E3D","eayy_E3E","eayy_E4","eayy_E5","eayy_E5A","eayy_E5B_1","eayy_E5B_2","eayy_E5B_3","eayy_E5B_4","eayy_E5B_5","eayy_E5B_6","eayy_E5B_7","eayy_E5B_8","eayy_E5B_9","eayy_F1_rec","eayy_F3","eayy_F4","eayy_F5","eayy_F6_rec","eayy_F7","eayy_F8","eayy_G1","eayy_G2","eayy_G3A","eayy_G3B","eayy_G3C","eayy_G4","eayy_G5","eayy_G6_1","eayy_G6_2","eayy_G6_3","eayy_G6_4","eayy_H1A","eayy_H2","eayy_H4","eayy_I1","eayy_I8","eayy_J1","eayy_K3","eayy_PCS18","eayy_PCS6","eayy_PCS6CJT","eayy_TYPMEN5","VAGUE","insee_NUTS1","insee_CATAEU2010","insee_TAU2014","insee_TUU2014","coco3_POIDS","coco3_PDSPLT","coco3_cal_NAT","coco3_POIDS_INIT","coco3_PDSPLT_INIT"
715,4,4,4,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,4,3,3,3,3,3,3,6,3,6666,6666,6666,6666,6666,6666,1,2,2,2,3,3,5,3,5,4,5,4,6,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,5,2,8,2,8,3,2,4,3,4,3,7,3,4,2,2,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,6666,6666,4,2,1,3,1,2,4,4,4,1,6666,1,1,2,2,6666,6666,6666,2,1,2,2,1,3,2,1,2,3,2,2,2,2,2,1,2,2,2,2,2,1,1,5,8,2,1,2,2,2,2,1,2,6,1,2,3,4,2,3,4,2,3,3,1,4,4,3,2,2,2,3,3,0.556450126413729,0.686983002032778,0.617417583475703,0.627012096652168,1,9,1,1,6,2,6,2,1,2,2,3,1,6,6,6,6,6,11,5,5,11,6,6,1,1,1,1,1,5,6,6,1,1,6,66,66,6,11,6,6,5,4,1,2,3,1,6,66,1,5,3,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,13,10,1,1,1,2,1,2,2,5,2,6,6,6,6,6,6,6,6,6,1,2,3,1,3,1,1,1,3,3,3,2,4,2,2,2,1,1,2,1,1,2,5,2,2,32,3,3,4,2019,2,112,10,4,0.557847834679952,"NA",1,0.570379102,"NA"
716,4,4,4,2,7,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,3,2,9999,3,3,2,1,9999,3,6666,6666,6666,6666,6666,6666,1,2,2,2,1,5,5,4,5,1,1,4,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,6,1,1,7,1,8,4,4,6,2,3,4,2,4,5,1,3,2,6666,6666,6666,6666,6666,6666,1,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,4,2,2,4,3,4,2,4,3,4,6666,1,6666,2,6666,2,6666,2,6666,1,2,3,1,4,4,4,4,4,2,2,2,2,2,1,2,1,2,2,1,2,2,2,1,4,2,2,1,1,2,2,2,8,6666,1,6666,4,1,6666,4,1,6666,4,1,6666,4,1,6666,4,4,6666,4,9999,0.150406233755834,0.202845203018523,0.197971602992112,2,11,1,1,6,2,6,5,3,6,6,66,1,6,6,6,6,6,11,5,6,66,6,6,1,6,66,5,2,66,6,6,1,1,6,66,4,66,5,4,6,1,1,1,1,2,2,6,66,3,4,2,5,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,10,9,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,4,1,2,2,1,2,2,1,2,1,1,1,5,1,1,2,2,2,1,2,1,3,10,3,5,46,4,666,1,2019,7,111,9,7,0.27219917671679,"NA",1,0.316355302,"NA"
718,3,3,2,1,8,3,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,4,2,4,2,4,6,1,1,1,1,1,1,2,2,2,2,1,2,1,5,4,5,4,5,5,5,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,6,8,1,4,4,7,4,3,3,4,4,4,4,4,5,3,3,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,6666,6666,4,1,3,2,2,3,4,2,1,3,6666,1,1,2,2,6666,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,3,5,2,2,2,2,2,2,1,2,6,1,1,3,4,2,3,4,3,2,4,4,1,4,2,2,4,1,4,4,0.268533573230552,0.457485776634713,0.456728401684783,0.409744173826443,1,8,1,1,6,2,6,2,1,2,2,3,1,6,6,6,6,6,7,2,4,10,6,6,1,1,1,5,1,1,6,6,1,1,6,66,2,66,2,2,6,3,2,2,6,6,2,6,66,1,6,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,11,6,1,2,1,1,2,2,2,3,2,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,1,2,1,3,2,1,2,2,1,2,2,2,1,2,1,8,3,4,61,6,5,4,2019,8,111,7,5,0.494676992843294,"2,41403401871032",1,0.31378616,"1,000336687"
719,5,5,4,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,6666,4,5,2,4,2,3,2,0,6666,6666,6666,6666,6666,6666,6666,1,2,2,2,3,5,5,4,2,4,3,4,6,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,1,3,7,2,1,5,3,4,4,2,2,6,3,2,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,1,2,1,2,1,1,2,2,2,4,4,4,3,3,4,4,3,4,4,6666,6666,2,2,6666,6666,2,6666,6666,6666,1,2,1,3,2,2,2,3,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6,6,6666,5,1,2,2,2,1,2,2,0,6666,2,9999,9999,2,9999,9999,3,9999,9999,4,9999,9999,2,9999,9999,2,3,4,0.800086797674758,0.758320409501358,0.847768433157537,0.815206925106399,1,13,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,11,5,4,10,2,2,2,2,6,5,6,5,6,6,6,6,6,66,5,66,7,4,6,2,1,1,3,1,2,6,66,1,8,4,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,12,9,1,2,2,1,2,1,2,4,2,6,6,6,6,6,6,6,6,6,2,2,3,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,2,1,2,4,2,1,32,3,4,3,2019,2,111,7,5,0.448529055751136,"NA",1,0.668896003,"NA"
720,4,4,3,2,6,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,5,5,2,4,3,3,2,6,1,2,2,2,2,2,1,1,2,2,2,4,5,5,5,4,5,6,6,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,7,1,8,1,1,4,2,4,4,3,2,5,3,1,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,6666,6666,4,3,4,4,3,3,4,1,1,4,6666,6666,6666,2,2,6666,2,2,6666,2,1,3,1,4,4,2,2,3,2,2,2,2,2,1,2,2,2,2,2,1,6,6,7,3,2,1,2,2,2,2,2,8,6666,2,6666,3,3,6666,2,2,6666,3,1,6666,4,2,6666,3,1,6666,3,0.794561183419581,0.802145606361886,0.668578003736014,0.753102569816418,2,10,1,1,6,2,6,1,3,6,6,66,1,6,6,6,6,6,8,3,6,66,6,6,1,6,66,2,2,66,6,6,1,1,6,66,66,4,5,6,6,1,1,1,3,1,1,6,66,1,9,4,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,6,5,1,1,2,1,1,2,2,3,2,6,6,6,6,6,6,6,6,6,4,2,3,2,1,2,2,2,5,1,1,1,1,2,2,2,1,2,1,2,1,3,5,2,3,51,5,666,1,2019,6,400,0,0,0.205823062629533,"NA",1,0.326211291,"NA"
722,6,6,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,6666,3,4,3,3,4,3,3,0,6666,6666,6666,6666,6666,6666,6666,1,2,2,2,1,5,5,5,5,3,2,3,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,3,1,1,1,2,1,2,3,2,1,4,2,10,4,0,1,3,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,1,2,1,2,1,2,2,2,2,4,1,4,4,3,4,4,4,1,4,6666,6666,6666,2,6666,6666,6666,2,6666,2,1,1,1,3,2,1,1,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6,6,6666,5,1,2,1,1,2,2,2,8,6666,1,6666,3,1,6666,1,1,6666,4,1,6666,4,1,6666,4,4,6666,1,0.541243338863074,0.778470862210858,0.74464495486796,0.706557832561646,2,14,2,2,6,2,6,4,1,1,2,7,6,6,6,6,1,1,4,1,2,6,2,2,2,2,6,5,6,5,6,6,6,6,6,66,6,66,7,1,6,2,1,1,2,1,1,6,66,1,5,4,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,10,6,1,1,1,1,1,2,1,4,1,2,2,2,2,2,2,2,2,1,1,2,3,1,3,2,1,1,6,2,2,2,3,1,2,2,2,1,2,1,1,1,5,2,1,55,5,4,3,2019,2,300,0,0,2.78193628930803,"NA",2,1.980980058,"NA"
723,6,6,3,2,4,4,2,1,2,2,2,2,2,2,2,2,2,2,1,3,6666,3,4,3,3,4,3,1,0,6666,6666,6666,6666,6666,6666,6666,1,2,2,2,2,5,4,2,4,2,6,4,6,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,6,2,1,2,2,4,1,2,2,8,3,1,1,2,2,2,2,2,1,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,6666,6666,3,2,1,2,3,1,1,4,2,4,1,1,1,1,1,2,6666,1,6666,1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6,6,6666,5,2,2,1,2,2,1,2,0,6666,2,3,4,3,2,4,1,4,4,1,4,4,3,2,4,3,2,4,0.51488628266605,0.491336563755069,0.328040876065025,0.43870859915981,2,14,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,8,3,4,10,2,2,2,2,6,1,6,5,6,6,6,6,6,66,66,5,9,6,6,1,1,2,6,6,1,6,66,1,6,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,12,10,1,1,1,1,2,1,2,5,2,6,6,6,6,6,6,6,6,6,1,2,4,1,1,2,1,4,3,3,3,2,1,2,1,2,2,2,1,2,1,1,8,4,3,32,3,3,1,2019,4,111,5,4,0.225455183167371,"0,780680701183977",1,0.509736738,"1,966742584"
724,5,5,3,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,4,4,2,4,2,3,2,0,6666,6666,6666,6666,6666,6666,6666,1,2,2,2,2,5,4,2,4,1,6,6,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,3,3,2,4,4,4,3,6,3,1,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,1,1,2,2,1,1,2,2,2,3,2,4,4,1,4,4,4,1,4,2,6666,6666,1,6666,6666,6666,1,6666,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6,6,6666,5,2,1,2,2,2,1,2,6,3,2,3,4,2,3,4,4,1,4,4,2,3,2,2,4,1,3,4,0.74464495486796,0.758320409501358,0.815206925106399,0.869188613685696,1,12,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,6,9,3,2,7,2,6,2,1,1,2,6,4,6,6,6,6,6,66,66,2,11,6,6,2,1,1,2,1,1,6,66,1,6,5,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,11,8,1,1,2,1,2,1,2,5,2,6,6,6,6,6,6,6,6,6,2,1,4,1,1,2,1,2,3,2,3,2,1,2,2,2,1,1,2,1,1,3,2,2,5,46,4,4,3,2019,1,111,10,8,0.0380217767060319,"0,892581335334809",1,0.058460945,"1,441470687"
726,4,4,1,1,7,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,3,4,2,4,3,2,3,6,1,1,2,2,2,2,2,1,2,2,2,4,5,4,4,5,4,4,5,5,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,7,2,1,2,1,4,2,4,4,5,3,1,2,1,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,1,2,2,1,1,1,2,2,2,3,4,4,1,4,4,4,2,2,4,1,6666,1,6666,6666,6666,1,1,6666,6666,2,2,1,2,2,2,2,3,2,2,2,2,2,1,2,1,2,2,2,2,2,4,5,4,1,2,2,2,2,2,2,6,1,3,1,4,4,1,3,3,1,4,4,4,4,3,2,4,1,3,4,0.652576143982349,0.471391319331979,0.558391725746859,0.590953233797996,1,11,1,1,6,2,6,4,1,1,2,7,1,6,6,6,6,6,1,1,3,8,6,6,1,1,1,1,2,5,6,6,1,1,6,66,66,4,1,6,6,2,1,1,3,1,1,6,66,1,4,5,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,8,4,1,1,2,2,2,2,2,3,2,6,6,6,6,6,6,6,6,6,2,2,3,1,3,1,1,2,4,1,1,1,1,2,2,2,1,2,1,1,2,3,1,3,1,51,5,6,3,2019,7,400,0,0,2.65277744900615,"NA",1,1.370932504,"NA"
727,2,2,3,2,7,2,2,2,1,1,2,2,2,2,2,2,1,2,2,3,6666,3,4,2,3,2,4,3,4,4,6666,6666,6666,6666,6666,6666,1,2,2,2,2,1,5,4,5,4,6,5,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,3,8,1,1,1,7,3,3,2,3,4,4,6,4,9,2,3,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,6666,6666,3,2,3,4,3,3,3,3,3,3,2,2,6666,2,2,2,2,1,2,1,2,2,1,3,3,2,2,3,2,2,2,2,2,1,2,2,2,2,2,1,5,1,5,2,1,2,2,2,2,2,2,6,1,2,3,4,2,3,4,1,4,4,4,4,4,2,2,4,3,4,4,0.685821991862202,0.484205039543708,0.733503627344981,0.548797212570394,2,7,1,1,6,2,6,2,1,2,2,3,1,6,6,6,6,6,5,1,4,10,6,6,1,1,1,5,1,5,6,6,1,1,6,66,4,66,7,3,6,4,3,2,6,6,3,2,4,2,3,2,3,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,11,6,1,1,2,1,2,2,2,4,2,6,6,6,6,6,6,6,6,6,2,2,3,2,2,2,2,1,2,2,1,2,4,2,2,2,1,2,2,2,2,2,3,3,5,48,4,6,4,2019,7,111,9,7,1.76095726980276,"0,88814379704999",1,1.027108627,"0,48342663"
730,3,3,3,1,5,1,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,5,5,1,5,2,3,1,6,1,2,2,2,2,2,1,1,2,2,2,2,5,4,4,3,4,5,5,5,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,9,9,7,2,2,1,1,4,4,0,3,2,2,1,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,6666,6666,3,4,4,4,3,4,4,3,1,3,1,6666,6666,2,6666,6666,1,2,2,6666,2,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,6,6,10,4,1,2,2,2,2,2,2,6,1,3,1,3,4,1,4,4,1,4,4,4,4,3,1,4,1,1,2,0.940492697165526,0.93745508834324,0.74464495486796,0.74464495486796,1,9,1,1,6,2,6,3,1,3,2,2,1,6,6,6,6,6,10,4,3,9,6,6,1,1,1,9,6,5,2,6,6,6,6,66,66,66,1,6,5,2,1,2,6,6,2,6,66,1,5,5,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,11,8,1,1,1,1,1,1,2,5,2,6,6,6,6,6,6,6,6,6,2,3,3,1,1,2,1,4,3,2,3,1,1,2,2,2,2,1,2,1,1,2,3,2,1,10,1,6,3,2019,5,221,1,1,0.502186733287688,"NA",1,0.4473663,"NA"
732,5,5,3,2,5,3,2,2,1,2,2,1,2,2,2,1,1,2,2,3,6666,2,3,3,3,3,2,4,6,3,6666,6666,6666,6666,6666,6666,1,2,2,2,2,5,5,4,5,4,3,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,5,3,2,2,4,4,3,3,4,7,2,5,3,4,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,6666,6666,4,4,3,4,4,3,4,4,4,4,6666,1,6666,6666,1,6666,6666,6666,6666,6666,2,1,1,3,4,2,3,4,2,2,2,2,2,1,1,1,2,2,1,2,3,3,8,3,1,2,1,1,2,1,2,0,6666,3,2,4,3,2,4,1,4,4,1,4,4,3,3,4,3,2,4,0.456728401684783,0.377580386949897,0.456728401684783,0.401286558877985,2,12,1,1,6,2,6,4,1,1,2,7,1,6,6,6,6,1,9,3,1,5,6,2,1,2,6,1,2,1,6,6,1,1,6,66,66,4,6,6,6,2,1,1,2,1,1,6,66,1,7,5,1,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,11,9,1,1,1,1,2,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,3,4,3,3,51,5,3,3,2019,5,111,9,7,0.337622630109741,"NA",1,0.720663386,"NA"
733,4,4,2,2,6,1,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,5,5,1,5,2,4,1,4,4,6666,6666,6666,6666,6666,6666,1,2,2,2,3,5,5,5,5,5,1,3,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,7,2,4,5,4,4,4,6,3,4,1,2,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,6666,6666,4,1,3,4,4,3,4,4,3,4,6666,2,6666,6666,2,6666,6666,2,6666,1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,5,8,2,1,1,2,2,2,2,2,6,1,3,2,4,1,3,4,1,4,4,1,4,4,1,4,4,1,1,4,0.961912877693685,0.928887106127005,0.838173919981072,0.651223283235531,2,10,1,1,6,2,6,4,1,3,2,2,1,6,6,6,6,6,7,2,2,7,6,6,1,1,1,5,2,2,6,6,1,1,6,66,3,66,6,4,6,3,1,1,3,2,5,6,66,1,4,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,10,4,1,1,1,2,2,1,2,3,2,6,6,6,6,6,6,6,6,6,2,2,3,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,3,6,3,4,54,5,5,4,2019,6,111,6,4,0.506636811636713,"NA",1,0.640489899,"NA"
734,2,2,3,2,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,3,6666,4,5,2,5,2,4,2,6,3,6666,6666,6666,6666,6666,6666,2,2,1,2,3,5,5,5,4,5,5,5,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,7,1,7,1,5,3,3,4,4,7,2,5,1,3,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,6666,6666,2,4,4,4,4,4,4,3,3,4,2,6666,6666,6666,6666,6666,2,2,6666,6666,1,3,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,4,4,7,3,1,2,1,2,2,2,2,6,1,2,2,4,1,1,4,3,2,4,4,4,4,3,2,4,4,4,4,0.882367141784208,0.363979439130718,0.901750121736834,0.834685506301429,2,6,1,1,6,2,6,3,1,3,2,2,1,6,6,7,6,1,10,4,1,5,6,2,1,2,8,5,2,5,6,6,1,1,6,66,6,66,6,3,6,2,1,2,6,6,3,2,4,2,2,4,5,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,8,4,1,1,2,1,2,3,2,3,2,6,6,6,6,6,6,6,6,6,3,2,4,2,2,2,1,1,3,2,2,2,5,2,2,2,1,2,2,1,2,3,5,1,3,54,5,6,3,2019,2,111,8,7,1.15856974975748,"NA",1,0.750558719,"NA"
736,3,3,1,2,3,2,2,2,1,2,1,2,2,2,2,2,1,2,2,3,6666,4,3,3,2,3,3,2,5,6666,6666,6666,6666,6666,6666,6666,2,2,2,1,2,2,5,3,5,2,6,6,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,3,3,1,1,1,6,3,2,5,1,4,4,9,2,5,3,4,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,6666,6666,4,4,4,4,3,4,4,4,4,4,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,1,2,1,2,2,3,3,3,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6,6,6666,5,1,2,2,2,2,2,2,2,6666,1,4,4,3,1,4,2,2,4,1,4,4,1,2,3,4,4,4,0.50876849093095,0.40982311331716,0.393077232048287,0.740363532321473,2,9,1,1,6,2,6,4,1,1,2,7,7,3,6,3,2,1,1,1,1,1,2,2,2,2,8,66,6,4,6,6,6,6,6,66,66,66,66,6,6,4,1,2,6,6,3,1,5,2,4,5,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,6,1,1,2,2,2,2,2,2,3,1,2,2,1,2,2,2,2,2,2,2,2,3,2,4,2,2,3,5,1,1,1,5,2,1,2,2,2,1,1,1,4,9,3,5,666,666,6,4,2019,3,111,7,5,2.31398812868021,"NA",3,1.751776235,"NA"
