"UID_ANONYM_COVID","coco4_cal_AGE1","coco4_cal_AGE2","coco4_cal_DIPL","coco4_cal_SEXE","coco4_cal_ZEAT","coco4_q04","coco4_q05_c","coco4_q06_1","coco4_q06_2","coco4_q06_3","coco4_q06_4","coco4_q06_5","coco4_q06_6","coco4_q06_7","coco4_q06_8","coco4_q06_9","coco4_q06_10","coco4_q07_1","coco4_q07_2","coco4_q07_3","coco4_q09","coco4_q10","coco4_q16","coco4_q17","coco4_q18","coco4_q19","coco4_q20","coco4_q21","coco4_q25_a","coco4_q38_modifie","coco4_q62_modifie","coco4_q63_modifie","coco4_q64_modifie","coco4_q68","coco4_q79","coco4_q125_modifie_1","coco4_q125_modifie_2","coco4_q125_modifie_3","coco4_q125_modifie_4","coco4_q125_modifie_5","coco4_q141","coco4_q142_1","coco4_q142_2","coco4_q142_3","coco4_q142_4","coco4_q143_1","coco4_q143_2","coco4_q143_3","coco4_q143_4","coco4_q143_5","coco4_q143_6","coco4_q143_7","coco4_q143_8","coco4_q143_9","coco4_q144","coco4_q145","coco4_experience_1_DO","coco4_q146","coco4_q147","coco4_q148","coco4_q149","coco4_q150_1","coco4_q150_2","coco4_q150_3","coco4_q150_4","coco4_q150_5","coco4_q150_6","coco4_q150_7","coco4_q151_1_c","coco4_q151_2_c","coco4_q151_3_c","coco4_q151_4_c","coco4_q151_5_c","coco4_q151_6_c","coco4_q152","coco4_q153_1","coco4_q153_2","coco4_q153_3","coco4_q153_4","coco4_q153_5","coco4_q153_6","coco4_q154_1","coco4_q154_2","coco4_q154_3","coco4_q154_4","coco4_q154_5","coco4_q155_1","coco4_q155_2","coco4_q155_3","coco4_q155_4","coco4_q155_5","coco4_q155_6","coco4_q155_7","coco4_q155_8","coco4_q155_9","coco4_q155_10","coco4_SWB","ea17_SWB","ea18_SWB","ea19_SWB","eayy_A1","eayy_A2A_rec","eayy_A3_rec","eayy_A3B_rec","eayy_A3C_rec","eayy_A3D","eayy_A3E_rec","eayy_A4","eayy_A5","eayy_A5A","eayy_A5C","eayy_A5C_rec","eayy_B1","eayy_B10A","eayy_B10AA","eayy_B10ACJT","eayy_B11","eayy_B11CJT","eayy_B18_rec","eayy_B18C","eayy_B18CCJT","eayy_B18CJT_rec","eayy_B1A","eayy_B1ACJT","eayy_B1B","eayy_B1BCJT","eayy_B1CJT","eayy_B2_rec","eayy_B25","eayy_B2CJT_rec","eayy_B4_rec","eayy_B4CJT_rec","eayy_B5_rec","eayy_B5A","eayy_B5B_rec","eayy_B5C","eayy_B6A_rec","eayy_B6B_rec","eayy_B7B_rec","eayy_B8_rec","eayy_B9_rec","eayy_C1_rec","eayy_C1JEU","eayy_C8","eayy_C8A_rec","eayy_C8B_rec","eayy_D1_rec","eayy_D1A","eayy_D2","eayy_D3","eayy_D4_rec","eayy_D5_rec","eayy_D6","eayy_D7_1","eayy_D7_10","eayy_D7_2","eayy_D7_3","eayy_D7_4","eayy_D7_5","eayy_D7_6","eayy_D7_7","eayy_D7_8","eayy_D7_9","eayy_E1A","eayy_E1B","eayy_E1C","eayy_E1D","eayy_E1E","eayy_E1F","eayy_E1G","eayy_E1H","eayy_E1I","eayy_E1J","eayy_E2A_rec","eayy_E2AUC","eayy_E2AUC_SOURCE","eayy_E3A","eayy_E3B","eayy_E3C","eayy_E3D","eayy_E3E","eayy_E4","eayy_E5","eayy_E5A","eayy_E5B_1","eayy_E5B_2","eayy_E5B_3","eayy_E5B_4","eayy_E5B_5","eayy_E5B_6","eayy_E5B_7","eayy_E5B_8","eayy_E5B_9","eayy_F1_rec","eayy_F3","eayy_F4","eayy_F5","eayy_F6_rec","eayy_F7","eayy_F8","eayy_G1","eayy_G2","eayy_G3A","eayy_G3B","eayy_G3C","eayy_G4","eayy_G5","eayy_G6_1","eayy_G6_2","eayy_G6_3","eayy_G6_4","eayy_H1A","eayy_H2","eayy_H4","eayy_I1","eayy_I8","eayy_J1","eayy_K3","eayy_PCS18","eayy_PCS6","eayy_PCS6CJT","eayy_TYPMEN5","VAGUE","insee_NUTS1","insee_CATAEU2010","insee_TAU2014","insee_TUU2014","POIDS_coco4","PDSPLT_coco4","coco4_cal_NAT","POIDS_INIT_coco4","PDSPLT_INIT_coco4"
693,5,5,1,2,7,2,3,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,3,3,4,4,3,1,4,1,2,8,2,8,3,3,4,4,4,2,1,2,2,2,3,2,3,4,1,1,3,1,2,1,1,2,6666,2,6666,2,4,5,4,6,1,1,6,1600,1300,1300,1500,2000,1300,5,3,3,3,3,3,3,1,5,5,2,4,5,4,4,5,4,5,5,4,5,4,0.566044639590194,0.819472478851749,0.731466426769448,0.965401291373329,2,13,1,1,6,2,6,3,1,3,2,5,1,6,6,6,6,6,4,1,1,5,6,6,1,1,1,2,2,5,6,6,1,1,6,66,66,4,3,6,6,2,1,1,2,2,3,1,5,2,4,5,3,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,88,99,3,2,2,2,2,2,2,3,2,6,6,6,6,6,6,6,6,6,4,1,3,2,1,2,2,8,2,2,1,1,2,2,1,2,2,2,2,1,1,2,2,2,1,51,5,6,3,2019,7,111,8,6,0.889825392470493,"NA",3,1.091967355,"NA"
694,4,4,3,1,3,1,6,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,3,3,2,3,2,3,2,1,2,3,1,2,7,3,3,3,3,4,2,1,1,2,2,1,1,2,2,3,3,2,2,2,2,1,3,6666,6666,1,2,3,4,3,4,3,3,2,1219,1300,1400,2000,1800,1700,3,2,2,2,1,3,2,4,4,9999,4,9999,1,4,5,5,6,7,4,3,4,5,0.622138496625757,0.540181141000973,0.523888618362591,0.604131761896508,1,11,1,3,6,2,6,4,1,1,2,7,1,6,6,6,6,6,10,4,4,10,6,6,1,1,1,5,2,5,6,6,1,1,6,66,4,66,11,2,6,5,1,1,3,4,1,6,66,1,9,4,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,11,3,1,1,1,1,2,1,2,3,1,2,2,2,2,2,2,2,2,1,2,1,3,2,2,2,2,1,4,4,2,2,2,2,2,1,2,1,1,2,1,2,6,2,3,47,4,5,4,2019,3,111,9,7,0.0470492610090404,"0,370485846281876",1,0.051049179,"1,080756957"
695,4,4,4,1,2,3,5,2,1,1,2,2,2,2,2,1,2,2,2,1,3,6666,2,4,3,3,3,3,2,3,4,3,9,4,2,4,4,4,4,4,2,2,2,2,1,3,1,1,4,2,1,2,4,3,2,1,1,1,6666,6666,4,2,5,4,5,1,3,5,1500,1200,1200,1500,2000,1500,2,2,3,2,2,3,2,5,5,9999,5,5,2,2,7,4,5,5,4,1,4,2,0.533590425019739,0.588568825929747,0.613833568553656,0.51071009026408,1,10,1,1,6,2,6,4,1,1,2,7,1,6,6,6,6,6,11,5,4,10,6,6,1,1,1,5,1,2,6,6,1,1,6,66,5,66,8,4,6,4,1,1,2,3,1,6,66,1,9,5,2,1,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,12,7,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,2,4,2,2,1,4,2,2,2,2,2,2,1,2,2,1,3,1,3,8,3,1,36,3,4,4,2019,2,111,7,5,0.501414279091138,"NA",1,0.47315197,"NA"
696,6,6,4,2,1,3,7777,2,2,2,1,2,2,2,2,2,2,1,2,2,3,6666,4,5,2,5,1,9999,3,4,2,3,0,2,5,3,3,3,9999,4,1,2,2,2,1,2,3,3,3,3,4,3,2,3,1,2,2,6666,9999,6666,2,2,6,6,6,6,5,4,1500,1219,1400,1700,2000,1500,9999,3,3,3,3,3,3,2,2,1,5,5,6,3,4,4,5,3,6,4,2,2,9999,0.794189673947628,0.754346761525108,0.62635664352979,2,14,1,3,6,2,6,1,3,6,6,66,6,6,6,6,1,6,11,5,6,66,2,6,2,6,66,1,6,66,6,6,6,6,6,66,66,6,11,6,6,1,1,2,6,6,1,6,66,2,4,5,3,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,12,10,1,2,1,1,1,1,2,5,2,6,6,6,6,6,6,6,6,6,1,2,4,1,2,2,1,3,5,4,2,4,2,1,2,2,2,1,1,3,1,1,6,3,2,36,3,666,1,2019,1,111,10,8,0.104520393168122,"0,182144431984421",1,0.216337485,"0,423191034"
697,6,6,1,1,8,2,9999,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,4,3,4,4,3,2,4,1,2,7,3,5,3,3,3,3,3,2,2,2,2,1,1,1,1,4,1,2,2,4,4,1,1,1,2,6666,6666,2,3,2,3,2,4,4,3,1400,1400,1400,1400,1500,1400,3,2,2,2,3,3,2,3,5,3,4,3,4,4,5,4,4,5,4,3,5,3,0.621486482396991,0.429473058011024,0.609854768644993,0.489289909735921,1,14,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,6,8,3,5,11,2,1,2,1,6,9,6,1,1,6,6,6,6,66,66,66,7,6,6,2,1,1,1,1,1,6,66,1,3,5,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,13,10,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1,2,1,2,2,2,1,2,1,4,6,3,1,20,2,4,3,2019,8,112,7,0,4.18005135460165,"NA",1,3.45062085,"NA"
698,6,6,3,2,1,2,4,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,4,4,2,4,2,3,6,4,3,3,3,3,5,2,2,2,2,4,2,1,2,2,2,2,2,3,3,3,2,2,2,3,1,1,1,1,6666,6666,2,3,5,5,5,3,2,2,1150,1150,1200,1150,1800,1300,2,2,2,2,2,3,2,3,3,4,9999,4,5,4,5,2,4,5,5,2,4,5,0.74464495486796,0.694938934447035,0.788945470151779,0.696963319385181,2,14,1,1,6,2,6,5,3,6,6,66,6,6,6,6,1,6,10,4,6,66,2,6,2,6,66,5,6,66,6,6,6,6,6,66,5,66,11,4,6,1,1,1,2,2,1,6,66,2,4,4,5,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,10,9,2,1,2,1,2,1,2,4,2,6,6,6,6,6,6,6,6,6,2,2,3,2,1,2,1,1,3,5,4,4,4,2,2,2,1,2,1,1,1,2,8,2,5,36,3,666,1,2019,1,111,10,8,0.989993857338211,"NA",1,2.286616037,"NA"
699,6,6,4,1,4,2,3,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,5,2,5,2,3,3,1,3,3,2,2,5,3,2,2,2,3,1,1,1,2,2,1,3,2,1,3,4,3,1,2,1,2,1,1,6666,6666,2,3,5,5,3,4,4,4,1200,1200,1200,1200,1600,1200,2,3,3,3,3,3,3,4,9999,2,5,4,5,4,4,2,6,5,6,4,6,2,0.847768433157537,0.841740795478839,0.792326590350739,0.761999675368443,1,14,3,2,9,2,6,4,1,1,2,7,6,6,6,6,6,1,11,5,3,8,1,2,1,2,6,9,6,9,1,1,6,6,6,66,66,66,1,6,6,2,1,1,2,1,1,6,66,1,5,5,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,7,3,1,1,2,2,2,2,2,3,2,6,6,6,6,6,6,6,6,6,3,1,3,1,2,1,1,1,3,3,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,20,2,4,3,2019,4,211,2,3,0.249084282317402,"NA",3,0.501257811,"NA"
700,6,6,2,2,8,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,3,6666,5,5,2,5,2,4,1,4,3,3,2,2,5,4,4,4,4,4,1,2,2,2,1,2,1,3,4,2,4,4,3,3,1,2,2,6666,1,6666,2,6,5,3,4,2,4,4,1200,1100,900,1300,2000,1300,4,3,3,3,2,3,2,1,1,1,5,4,3,1,5,1,5,7,6,1,6,3,0.901750121736834,0.693757020518683,0.665099218958483,0.72054106176528,2,14,2,9,6,2,6,4,1,1,2,7,6,6,6,6,1,1,7,2,5,11,2,2,2,2,6,9,6,1,2,6,6,6,6,66,66,66,11,6,6,3,1,2,6,6,1,6,66,1,6,2,5,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,12,9,1,1,1,1,2,2,2,5,2,6,6,6,6,6,6,6,6,6,1,3,3,2,1,1,1,2,3,2,1,3,1,1,2,1,1,1,1,3,1,1,5,2,2,20,2,3,4,2019,3,111,6,4,1.68813450919003,"NA",2,2.08029147,"NA"
702,5,5,4,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,3,3,3,3,3,3,1,3,4,3,5,2,2,3,3,3,3,3,2,2,2,2,1,3,4,3,3,3,3,2,4,1,1,1,1,2,6666,6666,2,3,5,3,4,3,3,3,1700,1550,1000,1500,1700,1550,1,2,3,2,2,3,2,4,1,2,4,9999,2,4,7,6,4,7,5,1,2,3,0.523888618362591,0.491336563755069,0.627012096652168,0.847768433157537,2,11,1,1,6,2,6,4,1,1,2,6,1,6,6,6,6,6,11,5,5,11,6,6,1,1,1,5,1,5,6,6,1,1,6,66,5,66,6,1,6,2,1,2,6,6,1,6,66,2,5,5,3,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,13,10,1,1,1,1,1,1,2,5,2,6,6,6,6,6,6,6,6,6,2,2,3,1,3,2,2,2,3,1,1,2,5,1,2,2,1,1,1,2,1,4,5,2,5,36,3,3,3,2019,1,111,10,8,0.417644783459808,"NA",1,0.892643362,"NA"
704,5,5,3,1,2,2,9,2,2,1,1,2,1,1,2,2,2,1,2,2,3,6666,3,3,2,3,2,2,3,4,2,2,8,2,10,3,2,2,3,4,1,2,2,2,1,2,2,3,3,3,3,2,2,3,1,1,1,2,6666,6666,3,4,5,3,4,3,2,3,1200,1200,1200,2500,1800,1200,3,3,3,2,2,3,3,4,9999,9999,4,9999,5,4,4,4,4,5,5,4,5,5,0.587539787999087,0.603562616055296,0.563219932377596,0.574361259900575,1,12,1,3,6,2,6,1,2,3,2,3,1,6,6,6,6,6,9,3,6,66,6,6,1,6,66,5,2,66,6,6,1,1,6,66,4,66,7,3,6,1,1,1,1,1,1,6,66,2,4,5,4,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,11,9,1,1,2,1,1,1,2,4,2,6,6,6,6,6,6,6,6,6,3,1,2,1,3,2,1,2,1,1,5,4,4,2,2,2,1,1,2,1,1,1,5,3,5,46,4,666,1,2019,2,111,8,7,0.266464647289065,"NA",1,0.445602693,"NA"
705,5,5,4,1,1,2,4,1,2,2,2,1,1,2,2,2,2,1,2,2,3,6666,4,5,2,5,2,4,2,4,3,3,8,2,7,3,3,3,3,3,2,1,1,2,2,1,3,3,3,4,3,2,2,3,2,2,2,6666,1,6666,2,6,4,3,4,3,3,2,1000,1000,1000,1300,1500,1000,2,2,3,2,1,3,2,4,2,1,5,4,5,4,5,2,5,5,5,1,4,2,0.869188613685696,0.659906233398328,0.741263834668999,9999,1,11,1,9,6,2,6,4,1,1,2,7,1,6,6,6,6,6,10,4,4,10,6,6,1,1,1,5,1,5,6,6,1,1,6,66,5,66,8,4,6,2,1,2,6,6,1,6,66,3,8,4,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,13,10,1,1,2,2,1,2,1,5,2,6,6,6,6,6,6,6,6,6,2,2,4,2,2,2,2,1,3,2,4,3,1,2,2,2,1,1,2,1,1,2,6,2,3,36,3,3,3,2018,1,111,10,8,0.617597286106172,"NA",1,1.005421599,"NA"
707,3,3,3,2,5,2,7777,1,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,4,5,2,5,2,4,2,2,3,3,3,3,6,3,3,3,3,3,1,1,2,2,2,3,3,3,4,2,2,3,3,3,1,2,2,6666,1,6666,2,4,5,3,4,2,2,4,1150,1000,1200,1500,2000,1500,2,3,3,2,2,3,2,4,9999,3,4,4,3,5,3,5,5,3,4,6,3,2,0.869188613685696,0.617987972077373,0.72054106176528,0.847768433157537,2,7,1,1,6,2,6,4,1,1,2,6,1,6,6,6,6,6,10,4,4,10,6,6,1,1,1,5,2,5,6,6,1,2,1,5,6,66,11,4,6,4,3,1,2,3,2,6,66,1,8,4,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,11,6,2,1,1,1,1,1,2,4,2,6,6,6,6,6,6,6,6,6,2,1,3,1,2,2,2,2,5,2,1,2,1,2,2,2,1,2,1,2,1,3,7,2,5,55,5,4,4,2019,5,221,3,4,0.719584745613588,"NA",1,0.818712362,"NA"
708,5,5,4,2,3,2,9,1,2,1,2,1,2,2,2,1,2,2,1,2,3,6666,3,3,2,3,2,3,2,2,2,3,7,2,5,3,3,3,3,3,1,1,2,2,2,2,2,2,3,3,3,3,3,2,1,2,1,1,6666,6666,3,4,4,5,3,2,3,3,1300,1200,1350,1600,1800,1500,5,2,3,2,2,3,2,2,4,4,4,4,4,4,4,3,5,3,5,6,5,5,0.608959968527246,0.637413403175652,0.532130270792239,0.67264346376369,2,11,1,1,6,2,6,4,1,1,2,7,1,6,6,6,6,1,10,4,4,10,6,2,1,2,6,5,2,1,6,6,1,1,6,66,88,66,10,4,6,1,1,2,6,6,1,6,66,1,7,5,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,12,10,1,1,1,1,2,2,2,4,2,6,6,6,6,6,6,6,6,6,1,3,4,1,1,2,1,1,3,5,4,2,2,2,2,2,1,1,1,1,1,3,4,3,2,41,4,4,1,2019,3,111,8,6,0.22255043565169,"NA",3,0.55978093,"NA"
709,4,4,4,2,5,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,4,2,5,2,4,1,3,2,3,3,2,5,4,4,4,4,3,1,1,1,2,2,2,2,2,2,2,3,3,2,3,2,2,3,6666,6666,1,2,2,5,5,2,2,3,3,1700,1700,2000,2300,2700,2000,5,2,3,2,2,3,2,4,1,4,4,4,6,2,6,3,7,2,6,2,4,2,0.813746770878899,0.897859899226286,0.854068486254054,0.813746770878899,2,10,1,1,6,2,6,3,1,3,2,7,1,6,6,6,6,6,11,5,5,11,6,6,1,1,1,4,1,5,6,6,1,1,6,66,66,6,8,6,6,3,1,1,2,2,1,6,66,1,9,5,5,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,77,99,3,1,1,1,1,1,1,5,2,6,6,6,6,6,6,6,6,6,1,3,4,1,3,2,1,1,4,5,4,5,2,1,2,1,1,1,2,1,1,2,5,2,2,36,3,3,4,2019,5,111,8,7,0.259518572598978,"NA",1,0.333143275,"NA"
712,6,6,1,2,7,2,5,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,5,4,2,4,3,3,1,4,2,3,5,2,1,3,3,2,3,2,2,1,2,2,2,3,2,1,2,3,2,2,3,2,2,1,1,1,6666,6666,3,4,4,3,4,1,3,2,1200,1200,1200,1300,1500,1200,2,3,3,3,3,3,3,9999,9999,9999,3,9999,4,4,4,4,5,5,6,2,4,3,0.739119340612783,0.53888768528628,0.620349584168984,0.715015447510103,2,13,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,4,1,2,6,2,2,2,2,6,5,6,9,6,1,6,6,6,66,6,66,11,1,6,2,1,1,2,1,1,6,66,1,4,4,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,9,4,1,2,1,1,1,1,2,3,2,6,6,6,6,6,6,6,6,6,3,2,3,2,3,2,1,2,2,1,1,1,3,2,2,2,1,2,1,1,1,2,7,2,1,55,5,2,3,2019,7,112,6,0,2.19724013490268,"NA",1,2.104557741,"NA"
713,4,4,4,2,5,3,6,2,1,1,2,2,2,2,2,2,2,1,2,2,3,6666,4,3,3,3,3,3,6,1,2,2,2,3,5,2,2,2,2,3,2,1,1,1,2,1,2,2,2,4,4,4,3,2,2,2,2,6666,1,6666,3,3,5,5,3,5,5,5,1200,1000,1200,1500,1900,1500,3,3,3,3,3,3,3,4,3,5,4,4,2,5,5,6,5,5,3,5,5,2,0.543271598315217,0.684964524706863,0.543271598315217,0.508672889688546,2,10,2,2,6,2,6,1,3,6,6,66,1,6,6,6,6,6,10,4,6,66,6,6,1,6,66,2,2,66,6,6,1,1,6,66,66,4,6,6,6,2,1,1,1,2,2,6,66,1,4,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,8,4,2,1,1,1,2,2,2,3,2,6,6,6,6,6,6,6,6,6,1,2,2,1,1,2,1,2,2,4,4,2,4,2,2,2,2,1,1,1,1,1,2,4,2,51,5,666,2,2019,5,211,3,4,0.973320344072998,"NA",2,0.919688757,"NA"
714,5,5,1,1,1,2,7,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,3,4,4,3,4,3,2,4,1,2,8,2,5,2,2,2,2,2,1,1,2,2,2,2,3,3,4,2,3,2,3,3,1,2,3,6666,6666,1,2,3,4,3,4,3,3,3,1200,1200,1500,2500,1800,1200,3,3,3,2,2,3,2,3,3,4,4,4,4,4,5,2,5,5,5,3,4,3,0.494259111004735,0.666832549323277,0.478148582212942,0.627012096652168,1,12,1,1,6,2,6,3,1,3,2,5,6,6,6,6,1,1,8,3,4,10,2,2,2,2,6,5,6,5,6,6,6,6,6,66,4,66,2,2,6,2,1,1,1,1,1,6,66,1,7,5,5,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,11,8,1,1,1,1,2,1,1,3,1,2,2,2,2,1,2,2,2,2,2,2,3,1,1,2,1,2,3,2,2,2,1,2,2,2,1,2,1,1,1,1,7,2,2,48,4,4,3,2019,1,111,10,8,3.8076076665906,"NA",1,3.388579512,"NA"
715,4,4,4,1,2,2,8,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,3,4,2,4,3,3,3,3,3,3,4,3,3,3,3,3,3,4,1,2,2,2,1,1,1,2,3,2,4,4,2,3,2,2,2,6666,1,6666,2,3,5,4,4,3,3,3,1400,1200,1500,1800,1800,1700,2,2,2,2,2,3,2,2,5,4,4,4,4,3,5,2,6,6,6,3,6,3,0.673996324510508,0.686983002032778,0.617417583475703,0.627012096652168,1,9,1,1,6,2,6,2,1,2,2,3,1,6,6,6,6,6,11,5,5,11,6,6,1,1,1,1,1,5,6,6,1,1,6,66,66,6,11,6,6,5,4,1,2,3,1,6,66,1,5,3,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,13,10,1,1,1,2,1,2,2,5,2,6,6,6,6,6,6,6,6,6,1,2,3,1,3,1,1,1,3,3,3,2,4,2,2,2,1,1,2,1,1,2,5,2,2,32,3,3,4,2019,2,112,10,4,0.604448981239538,"NA",1,0.570379102,"NA"
716,4,4,4,2,7,2,4,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,3,2,4,2,4,2,1,3,4,2,4,4,9,4,4,4,4,3,2,1,2,2,2,4,3,4,4,4,1,4,4,3,1,1,2,6666,2,6666,3,5,5,4,3,2,1,2,1200,1000,1200,1500,1500,1200,2,3,3,3,3,3,3,1,4,4,2,2,4,5,5,5,3,3,5,1,1,5,0.314273609380201,0.150406233755834,0.202845203018523,0.197971602992112,2,11,1,1,6,2,6,5,3,6,6,66,1,6,6,6,6,6,11,5,6,66,6,6,1,6,66,5,2,66,6,6,1,1,6,66,4,66,5,4,6,1,1,1,1,2,2,6,66,3,4,2,5,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,10,9,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,4,1,2,2,1,2,2,1,2,1,1,1,5,1,1,2,2,2,1,2,1,3,10,3,5,46,4,666,1,2019,7,111,9,7,0.277682509272098,"NA",1,0.316355302,"NA"
718,3,3,2,1,8,3,3,1,2,1,2,2,2,1,2,2,2,1,2,2,3,6666,2,3,4,2,3,2,3,4,2,3,5,4,7,4,4,4,4,4,2,2,2,2,1,2,1,3,3,2,1,1,4,3,1,2,2,6666,1,6666,4,4,4,3,3,3,1,4,1300,1600,1500,1300,1700,1300,2,3,3,2,2,3,2,2,4,3,4,4,5,6,3,5,5,3,2,3,3,5,0.362062538343664,0.457485776634713,0.456728401684783,0.409744173826443,1,8,1,1,6,2,6,2,1,2,2,3,1,6,6,6,6,6,7,2,4,10,6,6,1,1,1,5,1,1,6,6,1,1,6,66,2,66,2,2,6,3,2,2,6,6,2,6,66,1,6,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,11,6,1,2,1,1,2,2,2,3,2,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,1,2,1,3,2,1,2,2,1,2,2,2,1,2,1,8,3,4,61,6,5,4,2019,8,111,7,5,0.47647978974942,"2,51081729176314",1,0.31378616,"1,000336687"
719,5,5,4,1,2,2,5,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,5,2,4,2,3,2,4,2,3,3,2,6,3,3,3,3,3,2,2,2,2,1,3,3,2,2,2,3,2,3,3,1,1,3,6666,6666,1,2,4,5,4,4,3,3,4,1500,1500,1500,1500,1800,1300,1,2,3,2,3,3,3,4,2,4,4,4,5,2,5,3,5,5,5,2,5,4,0.800086797674758,0.758320409501358,0.847768433157537,0.815206925106399,1,13,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,11,5,4,10,2,2,2,2,6,5,6,5,6,6,6,6,6,66,5,66,7,4,6,2,1,1,3,1,2,6,66,1,8,4,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,12,9,1,2,2,1,2,1,2,4,2,6,6,6,6,6,6,6,6,6,2,2,3,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,2,1,2,4,2,1,32,3,4,3,2019,2,111,7,5,0.446354990950834,"NA",1,0.668896003,"NA"
720,4,4,3,2,6,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,5,2,4,3,3,2,1,2,3,5,2,2,3,3,3,3,3,2,1,2,2,2,1,1,3,3,2,3,3,3,3,1,2,3,6666,6666,1,2,3,4,4,4,3,3,3,1200,1100,1200,1500,1800,1300,1,3,3,3,2,2,3,4,4,3,4,3,3,3,5,4,3,6,4,1,4,1,0.761999675368443,0.802145606361886,0.668578003736014,0.753102569816418,2,10,1,1,6,2,6,1,3,6,6,66,1,6,6,6,6,6,8,3,6,66,6,6,1,6,66,2,2,66,6,6,1,1,6,66,66,4,5,6,6,1,1,1,3,1,1,6,66,1,9,4,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,6,5,1,1,2,1,1,2,2,3,2,6,6,6,6,6,6,6,6,6,4,2,3,2,1,2,2,2,5,1,1,1,1,2,2,2,1,2,1,2,1,3,5,2,3,51,5,666,1,2019,6,400,0,0,0.22854855007996,"NA",1,0.326211291,"NA"
